Central Carbon	Acetyl-CoA_biosynthesis_in_plants	Pyruvate dehydrogenase E1 component beta subunit (EC 1.2.4.1)	rxn22957	(1) 2-Hydroxyethyl-ThPP[0] + (1) Pyruvate-dehydrogenase-lipoate[0] <= (1) TPP[0] + (1) Pyruvate-dehydrogenase-acetylDHlipoyl[0]
Central Carbon	Calvin-Benson-Bassham_cycle_in_plants	Fructose-1,6-bisphosphatase, type I (EC 3.1.3.11)	rxn15494	(1) H2O[0] + (1) beta-D-Fructose 1,6-bisphosphate[0] <=> (1) Phosphate[0] + (1) beta-D-Fructose 6-phosphate[0]
Central Carbon	Calvin-Benson-Bassham_cycle_in_plants	Fructose-bisphosphate aldolase class I (EC 4.1.2.13)	rxn01334	(1) Sedoheptulose 1,7-bisphosphate[0] <=> (1) Glycerone-phosphate[0] + (1) D-Erythrose4-phosphate[0]
Central Carbon	Calvin-Benson-Bassham_cycle_in_plants	Fructose-bisphosphate aldolase class I (EC 4.1.2.13)	rxn15116	(1) beta-D-Fructose 1,6-bisphosphate[0] <=> (1) Glycerone-phosphate[0] + (1) Glyceraldehyde3-phosphate[0]
Central Carbon	Calvin-Benson-Bassham_cycle_in_plants	NADPH-dependent glyceraldehyde-3-phosphate dehydrogenase (EC 1.2.1.13)	rxn00782	(1) NADP[0] + (1) Phosphate[0] + (1) Glyceraldehyde3-phosphate[0] <=> (1) NADPH[0] + (1) H+[0] + (1) 1,3-Bisphospho-D-glycerate[0]
Central Carbon	Calvin-Benson-Bassham_cycle_in_plants	Phosphoglycerate kinase (EC 2.7.2.3)	rxn01100	(1) ATP[0] + (1) 3-Phosphoglycerate[0] <=> (1) ADP[0] + (1) 1,3-Bisphospho-D-glycerate[0]
Central Carbon	Calvin-Benson-Bassham_cycle_in_plants	Phosphoribulokinase (EC 2.7.1.19)	rxn01111	(1) ATP[0] + (1) D-Ribulose5-phosphate[0] <=> (1) ADP[0] + (1) H+[0] + (1) D-Ribulose 1,5-bisphosphate[0]
Central Carbon	Calvin-Benson-Bassham_cycle_in_plants	Protein CP12, regulation of Calvin cycle via association/dissociation of PRK/CP12/GAPDH complex	rxn00782	(1) NADP[0] + (1) Phosphate[0] + (1) Glyceraldehyde3-phosphate[0] <=> (1) NADPH[0] + (1) H+[0] + (1) 1,3-Bisphospho-D-glycerate[0]
Central Carbon	Calvin-Benson-Bassham_cycle_in_plants	Protein CP12, regulation of Calvin cycle via association/dissociation of PRK/CP12/GAPDH complex	rxn01111	(1) ATP[0] + (1) D-Ribulose5-phosphate[0] <=> (1) ADP[0] + (1) H+[0] + (1) D-Ribulose 1,5-bisphosphate[0]
Central Carbon	Calvin-Benson-Bassham_cycle_in_plants	Ribose 5-phosphate isomerase A (EC 5.3.1.6)	rxn00777	(1) ribose-5-phosphate[0] <=> (1) D-Ribulose5-phosphate[0]
Central Carbon	Calvin-Benson-Bassham_cycle_in_plants	Ribulose bisphosphate carboxylase large chain (EC 4.1.1.39)	rxn00018	(1) H2O[0] + (1) CO2[0] + (1) D-Ribulose 1,5-bisphosphate[0] <=> (2) H+[0] + (2) 3-Phosphoglycerate[0]
Central Carbon	Calvin-Benson-Bassham_cycle_in_plants	Ribulose bisphosphate carboxylase large chain (EC 4.1.1.39)	rxn02251	(1) O2[0] + (1) D-Ribulose 1,5-bisphosphate[0] <=> (2) H+[0] + (1) 3-Phosphoglycerate[0] + (1) 2-Phosphoglycolate[0]
Central Carbon	Calvin-Benson-Bassham_cycle_in_plants	Ribulose bisphosphate carboxylase small chain (EC 4.1.1.39)	rxn00018	(1) H2O[0] + (1) CO2[0] + (1) D-Ribulose 1,5-bisphosphate[0] <=> (2) H+[0] + (2) 3-Phosphoglycerate[0]
Central Carbon	Calvin-Benson-Bassham_cycle_in_plants	Ribulose bisphosphate carboxylase small chain (EC 4.1.1.39)	rxn02251	(1) O2[0] + (1) D-Ribulose 1,5-bisphosphate[0] <=> (2) H+[0] + (1) 3-Phosphoglycerate[0] + (1) 2-Phosphoglycolate[0]
Central Carbon	Calvin-Benson-Bassham_cycle_in_plants	Ribulose-phosphate 3-epimerase (EC 5.1.3.1)	rxn01116	(1) D-Ribulose5-phosphate[0] <=> (1) D-Xylulose5-phosphate[0]
Central Carbon	Calvin-Benson-Bassham_cycle_in_plants	Sedoheptulose-1,7-bisphosphatase (EC 3.1.3.37)	rxn01345	(1) H2O[0] + (1) Sedoheptulose 1,7-bisphosphate[0] <=> (1) Phosphate[0] + (1) Sedoheptulose7-phosphate[0]
Central Carbon	Calvin-Benson-Bassham_cycle_in_plants	Transketolase (EC 2.2.1.1)	rxn01200	(1) Glyceraldehyde3-phosphate[0] + (1) Sedoheptulose7-phosphate[0] <=> (1) ribose-5-phosphate[0] + (1) D-Xylulose5-phosphate[0]
Central Carbon	Calvin-Benson-Bassham_cycle_in_plants	Transketolase (EC 2.2.1.1)	rxn15271	(1) Glyceraldehyde3-phosphate[0] + (1) beta-D-Fructose 6-phosphate[0] <=> (1) D-Xylulose5-phosphate[0] + (1) D-Erythrose4-phosphate[0]
Central Carbon	Calvin-Benson-Bassham_cycle_in_plants	Triosephosphate isomerase (EC 5.3.1.1)	rxn00747	(1) Glyceraldehyde3-phosphate[0] <=> (1) Glycerone-phosphate[0]
Central Carbon	Glycolysis_and_Gluconeogenesis_in_plants	2,3-bisphosphoglycerate-dependent phosphoglycerate mutase (EC 5.4.2.11)	rxn01106	(1) 2-Phospho-D-glycerate[0] <=> (1) 3-Phosphoglycerate[0]
Central Carbon	Glycolysis_and_Gluconeogenesis_in_plants	2,3-bisphosphoglycerate-independent phosphoglycerate mutase (EC 5.4.2.1)	rxn01106	(1) 2-Phospho-D-glycerate[0] <=> (1) 3-Phosphoglycerate[0]
Central Carbon	Glycolysis_and_Gluconeogenesis_in_plants	2,3-bisphosphoglycerate-independent phosphoglycerate mutase (EC 5.4.2.12)	rxn01106	(1) 2-Phospho-D-glycerate[0] <=> (1) 3-Phosphoglycerate[0]
Central Carbon	Glycolysis_and_Gluconeogenesis_in_plants	6-phosphofructokinase (EC 2.7.1.11)	rxn15493	(1) ATP[0] + (1) beta-D-Fructose 6-phosphate[0] => (1) ADP[0] + (1) H+[0] + (1) beta-D-Fructose 1,6-bisphosphate[0]
Central Carbon	Glycolysis_and_Gluconeogenesis_in_plants	Enolase (EC 4.2.1.11)	rxn00459	(1) 2-Phospho-D-glycerate[0] <=> (1) H2O[0] + (1) Phosphoenolpyruvate[0]
Central Carbon	Glycolysis_and_Gluconeogenesis_in_plants	Fructose-1,6-bisphosphatase, type I (EC 3.1.3.11)	rxn15494	(1) H2O[0] + (1) beta-D-Fructose 1,6-bisphosphate[0] <=> (1) Phosphate[0] + (1) beta-D-Fructose 6-phosphate[0]
Central Carbon	Glycolysis_and_Gluconeogenesis_in_plants	Fructose-bisphosphate aldolase class I (EC 4.1.2.13)	rxn01334	(1) Sedoheptulose 1,7-bisphosphate[0] <=> (1) Glycerone-phosphate[0] + (1) D-Erythrose4-phosphate[0]
Central Carbon	Glycolysis_and_Gluconeogenesis_in_plants	Fructose-bisphosphate aldolase class I (EC 4.1.2.13)	rxn15116	(1) beta-D-Fructose 1,6-bisphosphate[0] <=> (1) Glycerone-phosphate[0] + (1) Glyceraldehyde3-phosphate[0]
Central Carbon	Glycolysis_and_Gluconeogenesis_in_plants	Glucose-6-phosphate isomerase (EC 5.3.1.9)	rxn02380	(1) beta-D-Glucose 6-phosphate[0] <=> (1) D-fructose-6-phosphate[0]
Central Carbon	Glycolysis_and_Gluconeogenesis_in_plants	Glucose-6-phosphate isomerase (EC 5.3.1.9)	rxn15364	(1) alpha-D-Glucose 6-phosphate[0] <=> (1) beta-D-Fructose 6-phosphate[0]
Central Carbon	Glycolysis_and_Gluconeogenesis_in_plants	Glycerol-3-phosphate dehydrogenase (EC 1.1.5.3)	rxn08556	(1) Glycerol-3-phosphate[0] + (1) Ubiquinone-8[0] <=> (1) Glycerone-phosphate[0] + (1) Ubiquinol-8[0]
Central Carbon	Glycolysis_and_Gluconeogenesis_in_plants	Glycerol-3-phosphate dehydrogenase [NAD+] (EC 1.1.1.8)	rxn00611	(1) NAD[0] + (1) Glycerol-3-phosphate[0] <=> (1) NADH[0] + (1) H+[0] + (1) Glycerone-phosphate[0]
Central Carbon	Glycolysis_and_Gluconeogenesis_in_plants	Glycerol-3-phosphate dehydrogenase [NAD+] (EC 1.1.1.8)	rxn00612	(1) NADP[0] + (1) Glycerol-3-phosphate[0] <=> (1) NADPH[0] + (1) H+[0] + (1) Glycerone-phosphate[0]
Central Carbon	Glycolysis_and_Gluconeogenesis_in_plants	Hexokinase (EC 2.7.1.1)	rxn01169	(1) ATP[0] + (1) beta-D-Glucose[0] <=> (1) ADP[0] + (1) H+[0] + (1) beta-D-Glucose 6-phosphate[0]
Central Carbon	Glycolysis_and_Gluconeogenesis_in_plants	Hexokinase (EC 2.7.1.1)	rxn15121	(1) ATP[0] + (1) alpha-D-Galactose[0] => (1) ADP[0] + (1) H+[0] + (1) D-Galactose 1-phosphate[0]
Central Carbon	Glycolysis_and_Gluconeogenesis_in_plants	Hexokinase (EC 2.7.1.1)	rxn15249	(1) ATP[0] + (1) alpha-D-Glucose[0] => (1) ADP[0] + (1) H+[0] + (1) alpha-D-Glucose 6-phosphate[0]
Central Carbon	Glycolysis_and_Gluconeogenesis_in_plants	Hexokinase (EC 2.7.1.1)	rxn15435	(1) ATP[0] + (1) beta-D-Fructose[0] => (1) ADP[0] + (1) H+[0] + (1) beta-D-Fructose 6-phosphate[0]
Central Carbon	Glycolysis_and_Gluconeogenesis_in_plants	Hexokinase (EC 2.7.1.1)	rxn20176	(1) ATP[0] + (1) MANNOSE[0] => (1) ADP[0] + (1) H+[0] + (1) D-mannose-6-phosphate[0]
Central Carbon	Glycolysis_and_Gluconeogenesis_in_plants	Malate dehydrogenase (EC 1.1.1.37)	rxn00248	(1) NAD[0] + (1) L-Malate[0] <=> (1) NADH[0] + (1) Oxaloacetate[0] + (1) H+[0]
Central Carbon	Glycolysis_and_Gluconeogenesis_in_plants	NAD-dependent glyceraldehyde-3-phosphate dehydrogenase (EC 1.2.1.12)	rxn00781	(1) NAD[0] + (1) Phosphate[0] + (1) Glyceraldehyde3-phosphate[0] <=> (1) NADH[0] + (1) H+[0] + (1) 1,3-Bisphospho-D-glycerate[0]
Central Carbon	Glycolysis_and_Gluconeogenesis_in_plants	NAD-dependent malic enzyme (EC 1.1.1.38)	rxn00159	(1) NAD[0] + (1) L-Malate[0] <=> (1) NADH[0] + (1) CO2[0] + (1) Pyruvate[0]
Central Carbon	Glycolysis_and_Gluconeogenesis_in_plants	NADP-dependent malic enzyme (EC 1.1.1.40)	rxn00161	(1) NADP[0] + (1) L-Malate[0] <=> (1) NADPH[0] + (1) CO2[0] + (1) Pyruvate[0]
Central Carbon	Glycolysis_and_Gluconeogenesis_in_plants	NADPH-dependent glyceraldehyde-3-phosphate dehydrogenase (EC 1.2.1.13)	rxn00782	(1) NADP[0] + (1) Phosphate[0] + (1) Glyceraldehyde3-phosphate[0] <=> (1) NADPH[0] + (1) H+[0] + (1) 1,3-Bisphospho-D-glycerate[0]
Central Carbon	Glycolysis_and_Gluconeogenesis_in_plants	Non-phosphorylating glyceraldehyde-3-phosphate dehydrogenase (NADP) (EC 1.2.1.9)	rxn00779	(1) H2O[0] + (1) NADP[0] + (1) Glyceraldehyde3-phosphate[0] <=> (1) NADPH[0] + (2) H+[0] + (1) 3-Phosphoglycerate[0]
Central Carbon	Glycolysis_and_Gluconeogenesis_in_plants	Phosphoenolpyruvate carboxykinase [ATP] (EC 4.1.1.49)	rxn00247	(1) ATP[0] + (1) Oxaloacetate[0] <=> (1) ADP[0] + (1) CO2[0] + (1) Phosphoenolpyruvate[0]
Central Carbon	Glycolysis_and_Gluconeogenesis_in_plants	Phosphoenolpyruvate carboxylase (EC 4.1.1.31)	rxn20508	(1) Phosphate[0] + (1) Oxaloacetate[0] <=> (1) Phosphoenolpyruvate[0] + (1) H2CO3[0]
Central Carbon	Glycolysis_and_Gluconeogenesis_in_plants	Phosphoenolpyruvate synthase (EC 2.7.9.2)	rxn00147	(1) H2O[0] + (1) ATP[0] + (1) Pyruvate[0] <=> (1) Phosphate[0] + (1) AMP[0] + (1) Phosphoenolpyruvate[0] + (3) H+[0]
Central Carbon	Glycolysis_and_Gluconeogenesis_in_plants	Phosphoglycerate kinase (EC 2.7.2.3)	rxn01100	(1) ATP[0] + (1) 3-Phosphoglycerate[0] <=> (1) ADP[0] + (1) 1,3-Bisphospho-D-glycerate[0]
Central Carbon	Glycolysis_and_Gluconeogenesis_in_plants	Protein CP12, regulation of Calvin cycle via association/dissociation of PRK/CP12/GAPDH complex	rxn00782	(1) NADP[0] + (1) Phosphate[0] + (1) Glyceraldehyde3-phosphate[0] <=> (1) NADPH[0] + (1) H+[0] + (1) 1,3-Bisphospho-D-glycerate[0]
Central Carbon	Glycolysis_and_Gluconeogenesis_in_plants	Protein CP12, regulation of Calvin cycle via association/dissociation of PRK/CP12/GAPDH complex	rxn01111	(1) ATP[0] + (1) D-Ribulose5-phosphate[0] <=> (1) ADP[0] + (1) H+[0] + (1) D-Ribulose 1,5-bisphosphate[0]
Central Carbon	Glycolysis_and_Gluconeogenesis_in_plants	Pyrophosphate-dependent fructose 6-phosphate-1-kinase (EC 2.7.1.90)	rxn15298	(1) PPi[0] + (1) beta-D-Fructose 6-phosphate[0] <=> (1) Phosphate[0] + (1) H+[0] + (1) beta-D-Fructose 1,6-bisphosphate[0]
Central Carbon	Glycolysis_and_Gluconeogenesis_in_plants	Pyruvate kinase (EC 2.7.1.40)	rxn00148	(1) ATP[0] + (1) Pyruvate[0] <=> (1) ADP[0] + (1) Phosphoenolpyruvate[0] + (1) H+[0]
Central Carbon	Glycolysis_and_Gluconeogenesis_in_plants	Pyruvate,phosphate dikinase (EC 2.7.9.1)	rxn00151	(1) ATP[0] + (1) Phosphate[0] + (1) Pyruvate[0] <=> (1) PPi[0] + (1) AMP[0] + (1) Phosphoenolpyruvate[0] + (2) H+[0]
Central Carbon	Glycolysis_and_Gluconeogenesis_in_plants	Sugar-terminal-phosphatase (EC 3.1.3.9/ EC 3.1.3.58)	rxn15250	(1) H2O[0] + (1) alpha-D-Glucose 6-phosphate[0] <=> (1) Phosphate[0] + (1) alpha-D-Glucose[0]
Central Carbon	Glycolysis_and_Gluconeogenesis_in_plants	Triosephosphate isomerase (EC 5.3.1.1)	rxn00747	(1) Glyceraldehyde3-phosphate[0] <=> (1) Glycerone-phosphate[0]
Central Carbon	Pentose_phosphate_pathway_in_plants	6-phosphogluconate dehydrogenase, decarboxylating (EC 1.1.1.44)	rxn01115	(1) NADP[0] + (1) 6-Phospho-D-gluconate[0] <=> (1) NADPH[0] + (1) CO2[0] + (1) D-Ribulose5-phosphate[0]
Central Carbon	Pentose_phosphate_pathway_in_plants	6-phosphogluconate dehydrogenase, decarboxylating (EC 1.1.1.44)	rxn11040	(1) NAD[0] + (1) 6-Phospho-D-gluconate[0] <=> (1) NADH[0] + (1) CO2[0] + (1) D-Ribulose5-phosphate[0]
Central Carbon	Pentose_phosphate_pathway_in_plants	6-phosphogluconolactonase (EC 3.1.1.31), eukaryotic type	rxn01476	(1) H2O[0] + (1) 6-phospho-D-glucono-1-5-lactone[0] <=> (1) H+[0] + (1) 6-Phospho-D-gluconate[0]
Central Carbon	Pentose_phosphate_pathway_in_plants	Gluconokinase (EC 2.7.1.12)	rxn01275	(1) ATP[0] + (1) GLCN[0] <=> (1) ADP[0] + (1) H+[0] + (1) 6-Phospho-D-gluconate[0]
Central Carbon	Pentose_phosphate_pathway_in_plants	Glucose-6-phosphate 1-dehydrogenase (EC 1.1.1.49)	rxn01975	(1) NADP[0] + (1) beta-D-Glucose 6-phosphate[0] <=> (1) NADPH[0] + (1) H+[0] + (1) 6-phospho-D-glucono-1-5-lactone[0]
Central Carbon	Pentose_phosphate_pathway_in_plants	Ribokinase (EC 2.7.1.12)	rxn37018	(1) ATP[0] + (1) beta-D-Ribofuranose[0] => (1) ADP[0] + (1) H+[0] + (1) ribose-5-phosphate[0]
Central Carbon	Pentose_phosphate_pathway_in_plants	Ribose 5-phosphate isomerase A (EC 5.3.1.6)	rxn00777	(1) ribose-5-phosphate[0] <=> (1) D-Ribulose5-phosphate[0]
Central Carbon	Pentose_phosphate_pathway_in_plants	Ribose-phosphate pyrophosphokinase (EC 2.7.6.1)	rxn00770	(1) ATP[0] + (1) ribose-5-phosphate[0] <=> (1) AMP[0] + (1) H+[0] + (1) PRPP[0]
Central Carbon	Pentose_phosphate_pathway_in_plants	Ribulose-phosphate 3-epimerase (EC 5.1.3.1)	rxn01116	(1) D-Ribulose5-phosphate[0] <=> (1) D-Xylulose5-phosphate[0]
Central Carbon	Pentose_phosphate_pathway_in_plants	Transaldolase (EC 2.2.1.2)	rxn29919	(1) Glyceraldehyde3-phosphate[0] + (1) Sedoheptulose7-phosphate[0] <=> (1) D-Erythrose4-phosphate[0] + (1) beta-D-Fructose 6-phosphate[0]
Central Carbon	Pentose_phosphate_pathway_in_plants	Transketolase (EC 2.2.1.1)	rxn01200	(1) Glyceraldehyde3-phosphate[0] + (1) Sedoheptulose7-phosphate[0] <=> (1) ribose-5-phosphate[0] + (1) D-Xylulose5-phosphate[0]
Central Carbon	Pentose_phosphate_pathway_in_plants	Transketolase (EC 2.2.1.1)	rxn15271	(1) Glyceraldehyde3-phosphate[0] + (1) beta-D-Fructose 6-phosphate[0] <=> (1) D-Xylulose5-phosphate[0] + (1) D-Erythrose4-phosphate[0]
Central Carbon	Photorespiration_(oxidative_C2_cycle)_in_plants	Aminomethyltransferase (glycine cleavage system T protein) (EC 2.1.2.10)	rxn00908	(1) NAD[0] + (1) Glycine[0] + (1) Tetrahydrofolate[0] <=> (1) NADH[0] + (1) CO2[0] + (1) NH3[0] + (1) 5-10-Methylenetetrahydrofolate[0]
Central Carbon	Photorespiration_(oxidative_C2_cycle)_in_plants	Aminomethyltransferase (glycine cleavage system T protein) (EC 2.1.2.10)	rxn01652	(1) H2O[0] + (1) 5-10-Methenyltetrahydrofolate[0] <=> (1) H+[0] + (1) 5-Formyltetrahydrofolate[0]
Central Carbon	Photorespiration_(oxidative_C2_cycle)_in_plants	D-glycerate 3-kinase (EC 2.7.1.31), plant type	rxn01102	(1) ATP[0] + (1) Glycerate[0] <=> (1) ADP[0] + (1) H+[0] + (1) 3-Phosphoglycerate[0]
Central Carbon	Photorespiration_(oxidative_C2_cycle)_in_plants	Dihydrolipoamide dehydrogenase of glycine cleavage system, L protein (EC 1.8.1.4)	rxn00908	(1) NAD[0] + (1) Glycine[0] + (1) Tetrahydrofolate[0] <=> (1) NADH[0] + (1) CO2[0] + (1) NH3[0] + (1) 5-10-Methylenetetrahydrofolate[0]
Central Carbon	Photorespiration_(oxidative_C2_cycle)_in_plants	Glutamate-glyoxylate aminotransferase (EC 2.6.1.4)	rxn00275	(1) 2-Oxoglutarate[0] + (1) Glycine[0] <=> (1) L-Glutamate[0] + (1) Glyoxalate[0]
Central Carbon	Photorespiration_(oxidative_C2_cycle)_in_plants	Glycine dehydrogenase [decarboxylating] (glycine cleavage system P protein) (EC 1.4.4.2)	rxn00908	(1) NAD[0] + (1) Glycine[0] + (1) Tetrahydrofolate[0] <=> (1) NADH[0] + (1) CO2[0] + (1) NH3[0] + (1) 5-10-Methylenetetrahydrofolate[0]
Central Carbon	Photorespiration_(oxidative_C2_cycle)_in_plants	Glycolaldehyde dehydrogenase (EC 1.2.1.21)	rxn00979	(1) H2O[0] + (1) NAD[0] + (1) Glycolaldehyde[0] <=> (1) NADH[0] + (2) H+[0] + (1) Glycolate[0]
Central Carbon	Photorespiration_(oxidative_C2_cycle)_in_plants	Glycolate oxidase (EC 1.1.3.15)	rxn00333	(1) O2[0] + (1) Glycolate[0] <=> (1) H2O2[0] + (1) Glyoxalate[0]
Central Carbon	Photorespiration_(oxidative_C2_cycle)_in_plants	L-alanine:glyoxylate aminotransferase (EC 2.6.1.44)	rxn00272	(1) L-Alanine[0] + (1) Glyoxalate[0] <=> (1) Pyruvate[0] + (1) Glycine[0]
Central Carbon	Photorespiration_(oxidative_C2_cycle)_in_plants	L-alanine:glyoxylate aminotransferase (EC 2.6.1.44)	rxn00275	(1) 2-Oxoglutarate[0] + (1) Glycine[0] <=> (1) L-Glutamate[0] + (1) Glyoxalate[0]
Central Carbon	Photorespiration_(oxidative_C2_cycle)_in_plants	NADH-dependent hydroxypyruvate reductase (EC 1.1.1.29)	rxn01011	(1) NAD[0] + (1) Glycerate[0] <=> (1) NADH[0] + (1) H+[0] + (1) Hydroxypyruvate[0]
Central Carbon	Photorespiration_(oxidative_C2_cycle)_in_plants	Phosphoglycolate phosphatase (EC 3.1.3.18)	rxn00980	(1) H2O[0] + (1) 2-Phosphoglycolate[0] <=> (1) Phosphate[0] + (1) Glycolate[0]
Central Carbon	Photorespiration_(oxidative_C2_cycle)_in_plants	Ribulose bisphosphate carboxylase large chain (EC 4.1.1.39)	rxn00018	(1) H2O[0] + (1) CO2[0] + (1) D-Ribulose 1,5-bisphosphate[0] <=> (2) H+[0] + (2) 3-Phosphoglycerate[0]
Central Carbon	Photorespiration_(oxidative_C2_cycle)_in_plants	Ribulose bisphosphate carboxylase large chain (EC 4.1.1.39)	rxn02251	(1) O2[0] + (1) D-Ribulose 1,5-bisphosphate[0] <=> (2) H+[0] + (1) 3-Phosphoglycerate[0] + (1) 2-Phosphoglycolate[0]
Central Carbon	Photorespiration_(oxidative_C2_cycle)_in_plants	Ribulose bisphosphate carboxylase small chain (EC 4.1.1.39)	rxn00018	(1) H2O[0] + (1) CO2[0] + (1) D-Ribulose 1,5-bisphosphate[0] <=> (2) H+[0] + (2) 3-Phosphoglycerate[0]
Central Carbon	Photorespiration_(oxidative_C2_cycle)_in_plants	Ribulose bisphosphate carboxylase small chain (EC 4.1.1.39)	rxn02251	(1) O2[0] + (1) D-Ribulose 1,5-bisphosphate[0] <=> (2) H+[0] + (1) 3-Phosphoglycerate[0] + (1) 2-Phosphoglycolate[0]
Central Carbon	Photorespiration_(oxidative_C2_cycle)_in_plants	Serine hydroxymethyltransferase (EC 2.1.2.1)	rxn00692	(1) H2O[0] + (1) Glycine[0] + (1) 5-10-Methylenetetrahydrofolate[0] <=> (1) L-Serine[0] + (1) Tetrahydrofolate[0]
Central Carbon	Photorespiration_(oxidative_C2_cycle)_in_plants	Serine--glyoxylate aminotransferase (EC 2.6.1.45)	rxn00424	(1) Glyoxalate[0] + (1) L-Serine[0] <=> (1) Glycine[0] + (1) Hydroxypyruvate[0]
Central Carbon	Rubisco_shunt_in_plants	2,3-bisphosphoglycerate-dependent phosphoglycerate mutase (EC 5.4.2.11)	rxn01106	(1) 2-Phospho-D-glycerate[0] <=> (1) 3-Phosphoglycerate[0]
Central Carbon	Rubisco_shunt_in_plants	2,3-bisphosphoglycerate-independent phosphoglycerate mutase (EC 5.4.2.1)	rxn01106	(1) 2-Phospho-D-glycerate[0] <=> (1) 3-Phosphoglycerate[0]
Central Carbon	Rubisco_shunt_in_plants	2,3-bisphosphoglycerate-independent phosphoglycerate mutase (EC 5.4.2.12)	rxn01106	(1) 2-Phospho-D-glycerate[0] <=> (1) 3-Phosphoglycerate[0]
Central Carbon	Rubisco_shunt_in_plants	Enolase (EC 4.2.1.11)	rxn00459	(1) 2-Phospho-D-glycerate[0] <=> (1) H2O[0] + (1) Phosphoenolpyruvate[0]
Central Carbon	Rubisco_shunt_in_plants	Phosphoribulokinase (EC 2.7.1.19)	rxn01111	(1) ATP[0] + (1) D-Ribulose5-phosphate[0] <=> (1) ADP[0] + (1) H+[0] + (1) D-Ribulose 1,5-bisphosphate[0]
Central Carbon	Rubisco_shunt_in_plants	Protein CP12, regulation of Calvin cycle via association/dissociation of PRK/CP12/GAPDH complex	rxn00782	(1) NADP[0] + (1) Phosphate[0] + (1) Glyceraldehyde3-phosphate[0] <=> (1) NADPH[0] + (1) H+[0] + (1) 1,3-Bisphospho-D-glycerate[0]
Central Carbon	Rubisco_shunt_in_plants	Protein CP12, regulation of Calvin cycle via association/dissociation of PRK/CP12/GAPDH complex	rxn01111	(1) ATP[0] + (1) D-Ribulose5-phosphate[0] <=> (1) ADP[0] + (1) H+[0] + (1) D-Ribulose 1,5-bisphosphate[0]
Central Carbon	Rubisco_shunt_in_plants	Pyruvate kinase (EC 2.7.1.40)	rxn00148	(1) ATP[0] + (1) Pyruvate[0] <=> (1) ADP[0] + (1) Phosphoenolpyruvate[0] + (1) H+[0]
Central Carbon	Rubisco_shunt_in_plants	Ribose 5-phosphate isomerase A (EC 5.3.1.6)	rxn00777	(1) ribose-5-phosphate[0] <=> (1) D-Ribulose5-phosphate[0]
Central Carbon	Rubisco_shunt_in_plants	Ribulose bisphosphate carboxylase large chain (EC 4.1.1.39)	rxn00018	(1) H2O[0] + (1) CO2[0] + (1) D-Ribulose 1,5-bisphosphate[0] <=> (2) H+[0] + (2) 3-Phosphoglycerate[0]
Central Carbon	Rubisco_shunt_in_plants	Ribulose bisphosphate carboxylase large chain (EC 4.1.1.39)	rxn02251	(1) O2[0] + (1) D-Ribulose 1,5-bisphosphate[0] <=> (2) H+[0] + (1) 3-Phosphoglycerate[0] + (1) 2-Phosphoglycolate[0]
Central Carbon	Rubisco_shunt_in_plants	Ribulose bisphosphate carboxylase small chain (EC 4.1.1.39)	rxn00018	(1) H2O[0] + (1) CO2[0] + (1) D-Ribulose 1,5-bisphosphate[0] <=> (2) H+[0] + (2) 3-Phosphoglycerate[0]
Central Carbon	Rubisco_shunt_in_plants	Ribulose bisphosphate carboxylase small chain (EC 4.1.1.39)	rxn02251	(1) O2[0] + (1) D-Ribulose 1,5-bisphosphate[0] <=> (2) H+[0] + (1) 3-Phosphoglycerate[0] + (1) 2-Phosphoglycolate[0]
Central Carbon	Rubisco_shunt_in_plants	Ribulose-phosphate 3-epimerase (EC 5.1.3.1)	rxn01116	(1) D-Ribulose5-phosphate[0] <=> (1) D-Xylulose5-phosphate[0]
Central Carbon	Rubisco_shunt_in_plants	Transaldolase (EC 2.2.1.2)	rxn29919	(1) Glyceraldehyde3-phosphate[0] + (1) Sedoheptulose7-phosphate[0] <=> (1) D-Erythrose4-phosphate[0] + (1) beta-D-Fructose 6-phosphate[0]
Central Carbon	Rubisco_shunt_in_plants	Transketolase (EC 2.2.1.1)	rxn01200	(1) Glyceraldehyde3-phosphate[0] + (1) Sedoheptulose7-phosphate[0] <=> (1) ribose-5-phosphate[0] + (1) D-Xylulose5-phosphate[0]
Central Carbon	Rubisco_shunt_in_plants	Transketolase (EC 2.2.1.1)	rxn15271	(1) Glyceraldehyde3-phosphate[0] + (1) beta-D-Fructose 6-phosphate[0] <=> (1) D-Xylulose5-phosphate[0] + (1) D-Erythrose4-phosphate[0]
Central Carbon	TCA_cycle_in_plants	2-oxoglutarate dehydrogenase E1 component (EC 1.2.4.2)	rxn17745	(1) NAD[0] + (1) CoA[0] + (1) 2-Oxoglutarate[0] <=> (1) NADH[0] + (1) CO2[0] + (1) Succinyl-CoA[0]
Central Carbon	TCA_cycle_in_plants	2-oxoglutarate dehydrogenase E1 component (EC 1.2.4.2)	rxn17746	(1) 2-Oxoglutarate[0] + (2) H+[0] + (1) Oxo-glutarate-dehydrogenase-lipoyl[0] <= (1) CO2[0] + (1) Oxo-glutarate-dehydro-suc-DH-lipoyl[0]
Central Carbon	TCA_cycle_in_plants	Acetolactate synthase large subunit (EC 2.2.1.6)	rxn00011	(1) CO2[0] + (1) 2-Hydroxyethyl-ThPP[0] <=> (1) Pyruvate[0] + (1) TPP[0] + (1) H+[0]
